URLS,"Tuesday, 2021-11-30 17:40:01","Tuesday, 2021-11-30 17:45:22"
https://www.amazon.in/Bosch-Inverter-Washer-WVG3046SIN-Inbuilt/dp/B08DG5DHN7,"₹62,999.00","₹62,999.00"
https://www.amazon.in/Panasonic-DMC-G85HGW-K-Mirrorless-Camera-Black/dp/B07K5FG7DP,Not Available,0
https://www.amazon.in/Sony-Cybershot-DSC-HX60V-20-4MP-Digital/dp/B00JPDG62O,Not Available,0
https://www.amazon.in/Panasonic-DMC-G85MGW-K-Mirrorless-Camera-Black/dp/B07N7ZPFPZ,Not Available,Not Available
https://www.amazon.in/Blue-Star-Deep-Freezer-500/dp/B017M9IAJO,Not Available,0
https://www.amazon.in/Nikon-Coolpix-A300-20-1MP-Optical/dp/B01G8A9YBG,Not Available,0
https://www.amazon.in/Whirlpool-6-5-Fully-Automatic-STAINWASH-PRO/dp/B084CM7DT2,"₹17,879.00","₹17,879.00"
https://www.amazon.in/Canon-PowerShot-Mark-Digital-Camera/dp/B076BBL9HL,Not Available,Not Available
https://www.amazon.in/Panasonic-DC-G95-12-60mm-Megapixels-Bluetooth/dp/B07SKB922C,Not Available,0
https://www.amazon.in/Voltas-Beko-DF14W-Dishwasher/dp/B08G1S351Q,"₹30,999.00",0
https://www.amazon.in/LG-Place-Settings-Dishwasher-DFB424FW/dp/B07Q3XGCYW,"₹47,490.00",0
https://www.amazon.in/IFB-Neptune-SX1-Fully-automatic-Front-loading/dp/B01H1Z5FU6,"₹46,790.00","₹46,790.00"
https://www.amazon.in/Samsung-Frost-Free-Refrigerator-RT28T3722DX-Convertible/dp/B0846D5T8M,"₹24,349.00",0
https://www.amazon.in/Bosch-Settings-Dishwasher-SMS66GI01I-Silver/dp/B07JW58P2C,"₹41,970.00",0
https://www.amazon.in/LG-Frost-Free-Refrigerator-GL-T322RPZY-Convertible/dp/B08HP3M1LS,Not Available,Not Available
https://www.amazon.in/LG-Settings-Dishwasher-DFB424FP-Platinum/dp/B07Q2PFV8D,"₹48,990.00",0
https://www.amazon.in/LG-Frost-Free-Double-Door-Refrigerator-GL-T502FPZU/dp/B07FDT3HYX,Not Available,Not Available
